counter,character_name,character_gender,character_major_or_minor,image,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
27,Doc,Male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/21/2x23-4.jpg/revision/latest/scale-to-width-down/350?cb=20140208114724,family,['Cancer'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Doc?action=edit&amp;section=6"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Doc\'s cancer spread to his brain and they made the decision to put him to sleep. Although Finn had the means of disposing him, Meredith did not want him thrown away like garbage and so Derek agreed to have him buried at the clearing by trailer, overlooking the water. After he was given the injection, Meredith and Derek stayed with him while he died. <i>(""<a href=""/wiki/Losing_My_Religion"" title=""Losing My Religion"">Losing My Religion</a>"")</i>\n</p>\n<h3><span class=""mw-headline"" id=""Posthumous_History"">Posthumous History</span><span class=""editsection""><a href=""/wiki/Doc?action=edit&amp;section=7"" title=""Edit Posthumous History section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<h4><span class=""mw-headline"" id=""Meredith.27s_Near-Death_Experience"">Meredith\'s Near-Death Experience</span><span class=""editsection""><a href=""/wiki/Doc?action=edit&amp;section=8"" title=""Edit Meredith&#039;s Near-Death Experience section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h4>\n<p>When Meredith drowned in <a href=""/wiki/Elliott_Bay"" title=""Elliott Bay"">Elliott Bay</a>, she awoke in an afterlife, where she met, among others, a completely healthy Doc. <i>(""<a href=""/wiki/Some_Kind_of_Miracle"" title=""Some Kind of Miracle"">Some Kind of Miracle</a>"")</i>\n</p>']",['Surgery'],No actor listed.,multiple,"['S-2-EP-19', 'S-2-EP-11', 'S-2-EP-20', 'S-2-EP-12', 'S-2-EP-13', 'S-2-EP-14', 'S-2-EP-23', 'S-2-EP-25', 'S-2-EP-27', 'S-3-EP-17', 'S-3-EP-17']",Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,Some_Kind_of_Miracle,Some Kind of Miracle,"['2', '3']"
27,William Dunn,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/6/6a/513WilliamDunn.png/revision/latest/scale-to-width-down/350?cb=20130506020828,patient,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']",[],"['Surgical extraction', 'Nephrectomy', 'Lorazepam', 'Surgery']",Eric Stoltz,multiple,"['S-5-EP-11', 'S-5-EP-12', 'S-5-EP-13', 'S-5-EP-13']",Wish_You_Were_Here,Wish You Were Here,Stairway_to_Heaven,Stairway to Heaven,['5']
27,"Denny Duquette, Jr.",male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/54/5x22-84.jpg/revision/latest/scale-to-width-down/333?cb=20150501140300,patient,['Congestive Heart Failure'],"['<h3><span class=""mw-headline"" id=""Heart_Transplant_and_Death"">Heart Transplant and Death</span><span class=""editsection""><a href=""/wiki/Denny_Duquette,_Jr.?action=edit&amp;section=4"" title=""Edit Heart Transplant and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>When a heart became available for Denny at <a href=""/wiki/Mercy_West_Medical_Center"" title=""Mercy West Medical Center"">Mercy West Medical Center</a>, he was prepped for the surgery. He decided before the surgery to sign a DNR, saying that he was done if he didn\'t get the heart.\n</p><p>When the donor flatlined, Burke tried to get the other donor\'s heart for Denny. In order to help his case, Izzie lied on the phone and said that Denny was getting worse. However, when they asked for labs to confirm, she realized she had to make his heart actually worse in order to fool them. She decided to cut his LVAD wire. Denny tried to stop her, but he relented when she started crying and said that she would never forgive him for making her love him if he died. <i>(""<a href=""/wiki/17_Seconds"" title=""17 Seconds"">17 Seconds</a>"")</i>\n</p>']","['LVAD', 'Heart Transplant']",Jeffrey Dean Morgan,multiple,"['S-2-EP-19', 'S-2-EP-20', 'S-2-EP-21', 'S-2-EP-13', 'S-2-EP-22', 'S-2-EP-23', 'S-2-EP-24', 'S-2-EP-25', 'S-2-EP-26', 'S-2-EP-27', 'S-3-EP-4', 'S-3-EP-16', 'S-3-EP-17', 'S-5-EP-9', 'S-5-EP-2', 'S-5-EP-10', 'S-5-EP-11', 'S-5-EP-12', 'S-5-EP-13', 'S-5-EP-22', 'S-5-EP-7', 'S-5-EP-23', 'S-5-EP-8', 'S-5-EP-23']",Begin_the_Begin,Begin the Begin,Here%27s_to_Future_Days,Here's to Future Days,"['2', '3', '5']"
27,James Evans,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/e/e4/10x13-6.jpg/revision/latest/scale-to-width-down/333?cb=20140210234151,family,"['mitral regurgitation', 'Cancer']","['<h3><span class=""mw-headline"" id=""Decline_and_Death"">Decline and Death</span><span class=""editsection""><a href=""/wiki/James_Evans?action=edit&amp;section=6"" title=""Edit Decline and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>When Jimmy developed mitral regurgitation, Shane took him into surgery with only Leah to help him. Things went south quickly, but Shane refused to call anyone for help. When Leah figured out that Shane wasn\'t going to stop and Jimmy could die, she ran to get help. She brought back Webber, who managed to get Shane to step back and took over. <i>(""<a href=""/wiki/Get_Up,_Stand_Up"" title=""Get Up, Stand Up"">Get Up, Stand Up</a>"")</i>\n</p><p>Three weeks after his surgery, Jimmy was still alive, but struggling. Alex called <a href=""/wiki/Naomi_Evans"" title=""Naomi Evans"">Naomi</a> and told her Jimmy had died in order to get her to come visit. She came, but was angry to learn Jimmy was still alive. She took the guitar he\'d stolen from her and left. Jimmy woke up afterward and saw the guitar missing. He told Alex taking it was one of the lowest things he\'d done and he wanted to give it back, not knowing Naomi had come and taken it. When Jimmy started to struggle to breathe, Alex lied to Jimmy and told him Naomi and Nicky were on their way. He said he\'d told them Jimmy loved them. He assured him it was okay, that he could go. A few moments later, Jimmy died. <i>(""<a href=""/wiki/Take_It_Back"" title=""Take It Back"">Take It Back</a>"")</i>\n</p>']",['Surgery'],James Remar,multiple,"['S-10-EP-11', 'S-10-EP-4', 'S-10-EP-12', 'S-10-EP-5', 'S-10-EP-13', 'S-10-EP-6', 'S-10-EP-13']",Puttin%27_on_the_Ritz,Puttin' on the Ritz,Take_It_Back,Take It Back,['10']
27,Elizabeth Fallon,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/df/3x17-21.jpg/revision/latest/scale-to-width-down/350?cb=20140208161145,patient,['Pancreatic Cancer'],[],['Palliative Care'],Anna Maria Horsford,multiple,['S-3-EP-17'],No_Man%27s_Land,No Man's Land,Some_Kind_of_Miracle,Some Kind of Miracle,"['1', '3']"
27,Jesse Fannon,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/6/6d/221JesseFannon.png/revision/latest/scale-to-width-down/350?cb=20130413035736,patient,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",[],['Surgery'],Omar Metwally,single,['S-2-EP-21'],Superstition,Superstition,Superstition,Superstition,['2']
27,Emile Flores,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/32/6x14EmileFlores.png/revision/latest/scale-to-width-down/350?cb=20130822083712,patient,"['Broken ankle', 'Epidural bleed']",[],"['Reduction', 'Casting', 'Surgery']",Brian George,single,['S-6-EP-14'],Valentine%27s_Day_Massacre,Valentine's Day Massacre,Valentine%27s_Day_Massacre,Valentine's Day Massacre,['6']
27,Eugene Foote,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/2d/223EugeneFoote.png/revision/latest/scale-to-width-down/350?cb=20130413145941,patient,['No diagnosis available'],[],['Surgery'],Albert Hall,single,['S-2-EP-23'],Blues_for_Sister_Someone,Blues for Sister Someone,Blues_for_Sister_Someone,Blues for Sister Someone,['2']
27,Jordan Franklin,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/e/e6/109JordanFranklin.png/revision/latest/scale-to-width-down/350?cb=20130403050651,patient,"['Ascites', 'Liver disease', 'Hemochromatosis']",[],['Paracentesis'],Jack Shearer,single,['S-1-EP-9'],Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,['1']
27,Peter Gekofsky,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/7/77/6x18Gekko.png/revision/latest/scale-to-width-down/350?cb=20130828100611,attending,['No diagnosis available'],[],['IED explosion'],Aaron Perilo,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
27,Stan Giamatti,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/b/b4/409StanGiamatti.png/revision/latest/scale-to-width-down/350?cb=20130428005359,patient,"['Severe bleeding', 'Paralysis']",[],['No treatment available'],Theo Rossi,multiple,['S-4-EP-10'],"Crash_Into_Me,_Part_1","Crash Into Me, Part 1","Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
27,Brett Gibson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/2b/11x18BrettGibson.png/revision/latest/scale-to-width-down/350?cb=20150403063308,patient,"['Gunshot wounds', 'Stroke', 'Brain death']",[],"['Cricothyrotomy', 'Surgery', 'Tracheal repair', 'Organ harvest']",William Nicol,single,['S-11-EP-18'],When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
27,Peter Gibson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/1e/11x18PeterGibson.png/revision/latest/scale-to-width-down/350?cb=20150517141553,patient,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']",[],"['Subclavian line', 'Chest tubes', 'Organ harvest']",Jake Green,single,['S-11-EP-18'],When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
27,Greta,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/98/415Greta.png/revision/latest/scale-to-width-down/350?cb=20130429021521,patient,['Inoperable Glioma'],[],['Clinical Trial'],Regina Taylor,single,['S-4-EP-15'],Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,['4']
27,Ellis Grey,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/52/EllisGreyIB.png/revision/latest/scale-to-width-down/297?cb=20140712184607,family,"[""Alzheimer's disease"", 'Heart condition']","['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Ellis_Grey?action=edit&amp;section=14"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Ellis became agitated and aggressive, so she was given lorazepam to calm her down. Later that day, she coded and was unable to be resuscitated. <i>(""<a href=""/wiki/Some_Kind_of_Miracle"" title=""Some Kind of Miracle"">Some Kind of Miracle</a>"")</i>\n</p>\n<h3><span class=""mw-headline"" id=""Posthumous_History"">Posthumous History</span><span class=""editsection""><a href=""/wiki/Ellis_Grey?action=edit&amp;section=15"" title=""Edit Posthumous History section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<h4><span class=""mw-headline"" id=""Meredith.27s_Near-Death_Experience"">Meredith\'s Near-Death Experience</span><span class=""editsection""><a href=""/wiki/Ellis_Grey?action=edit&amp;section=16"" title=""Edit Meredith&#039;s Near-Death Experience section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h4>\n<p>When Meredith drowned in <a href=""/wiki/Elliott_Bay"" title=""Elliott Bay"">Elliott Bay</a>, she saw her mother in a sort of afterlife, saying she didn\'t belong there. She said that Meredith was anything but ordinary before telling her to run. <i>(""<a href=""/wiki/Some_Kind_of_Miracle"" title=""Some Kind of Miracle"">Some Kind of Miracle</a>"")</i>\n</p>']",['Surgery'],Kate Burton,multiple,"['S-1-EP-1', 'S-1-EP-4', 'S-1-EP-5', 'S-2-EP-3', 'S-2-EP-4', 'S-2-EP-13', 'S-2-EP-5', 'S-2-EP-15', 'S-2-EP-18', 'S-3-EP-1', 'S-3-EP-10', 'S-3-EP-14', 'S-3-EP-15', 'S-3-EP-8', 'S-3-EP-17', 'S-6-EP-15', 'S-8-EP-13', 'S-11-EP-1', 'S-11-EP-4', 'S-11-EP-22', 'S-14-EP-7', 'S-14-EP-7']",A_Hard_Day%27s_Night,A Hard Day's Night,"Who_Lives,_Who_Dies,_Who_Tells_Your_Story","Who Lives, Who Dies, Who Tells Your Story","['1', '2', '3', '6', '8', '11', '14']"
27,Lexie Grey,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/c/c5/8x18-26.jpg/revision/latest/scale-to-width-down/333?cb=20160413120108,intern resident,['Plane Crash injuries'],"['<h3><span class=""mw-headline"" id=""Plane_Crash_and_Death"">Plane Crash and Death</span><span class=""editsection""><a href=""/wiki/Lexie_Grey?action=edit&amp;section=15"" title=""Edit Plane Crash and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>She was on a plane that crashed with\xc2\xa0<a href=""/wiki/Meredith_Grey"" title=""Meredith Grey"">Meredith</a>, <a href=""/wiki/Cristina_Yang"" title=""Cristina Yang"">Cristina</a>, <a href=""/wiki/Arizona_Robbins"" title=""Arizona Robbins"">Arizona</a>, <a href=""/wiki/Mark_Sloan"" title=""Mark Sloan"">Mark</a>, and <a href=""/wiki/Derek_Shepherd"" title=""Derek Shepherd"">Derek</a>, going to another hospital for surgery to separate conjoined twins. Suddenly, the back of the plane broke off and the plane crashed in the woods.<sup id=""cite_ref-6"" class=""reference""><a href=""#cite_note-6"">[7]</a></sup>\n</p>\n<figure class=""article-thumb tright show-info-icon"" style=""width: 300px""> \t<a href=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/2f/8x24-57.jpg/revision/latest?cb=20130522123257"" \tclass=""image image-thumbnail"" \t \t \t><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" \t alt=""8x24-57""  \tclass=""thumbimage lzy lzyPlcHld "" \t \tdata-image-key=""8x24-57.jpg"" \tdata-image-name=""8x24-57.jpg"" \t data-src=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/2f/8x24-57.jpg/revision/latest/scale-to-width-down/300?cb=20130522123257""  \t width=""300""  \t height=""169""  \t \t \t onload=""if(typeof ImgLzy===&#39;object&#39;){ImgLzy.load(this)}""  \t><noscript><img src=""https://vignette.wikia.nocookie.net/greysanatomy/images/2/2f/8x24-57.jpg/revision/latest/scale-to-width-down/300?cb=20130522123257"" \t alt=""8x24-57""  \tclass=""thumbimage "" \t \tdata-image-key=""8x24-57.jpg"" \tdata-image-name=""8x24-57.jpg"" \t \t width=""300""  \t height=""169""  \t \t \t \t></noscript></a>  \t<figcaption> \t\t \t\t\t<a href=""/wiki/File:8x24-57.jpg"" class=""sprite info-icon""></a> \t\t \t\t \t\t \t\t\t<p class=""caption"">Mark finds Lexie trapped under the plane.</p>']",['No treatment available.'],Chyler Leigh,multiple,"['S-3-EP-24', 'S-3-EP-25', 'S-4-EP-1', 'S-4-EP-7', 'S-4-EP-13', 'S-4-EP-2', 'S-4-EP-8', 'S-4-EP-14', 'S-4-EP-3', 'S-4-EP-9', 'S-4-EP-15', 'S-4-EP-4', 'S-4-EP-10', 'S-4-EP-16', 'S-4-EP-5', 'S-4-EP-11', 'S-4-EP-17', 'S-4-EP-6', 'S-4-EP-12', 'S-5-EP-1', 'S-5-EP-9', 'S-5-EP-17', 'S-5-EP-2', 'S-5-EP-10', 'S-5-EP-18', 'S-5-EP-3', 'S-5-EP-11', 'S-5-EP-19', 'S-5-EP-4', 'S-5-EP-12', 'S-5-EP-20', 'S-5-EP-5', 'S-5-EP-13', 'S-5-EP-21', 'S-5-EP-6', 'S-5-EP-14', 'S-5-EP-22', 'S-5-EP-7', 'S-5-EP-15', 'S-5-EP-23', 'S-5-EP-8', 'S-5-EP-16', 'S-5-EP-24', 'S-6-EP-1', 'S-6-EP-9', 'S-6-EP-17', 'S-6-EP-2', 'S-6-EP-10', 'S-6-EP-18', 'S-6-EP-3', 'S-6-EP-11', 'S-6-EP-19', 'S-6-EP-4', 'S-6-EP-12', 'S-6-EP-20', 'S-6-EP-5', 'S-6-EP-13', 'S-6-EP-21', 'S-6-EP-6', 'S-6-EP-14', 'S-6-EP-22', 'S-6-EP-7', 'S-6-EP-15', 'S-6-EP-23', 'S-6-EP-8', 'S-6-EP-16', 'S-6-EP-24', 'S-7-EP-1', 'S-7-EP-9', 'S-7-EP-17', 'S-7-EP-2', 'S-7-EP-10', 'S-7-EP-18', 'S-7-EP-3', 'S-7-EP-11', 'S-7-EP-19', 'S-7-EP-4', 'S-7-EP-12', 'S-7-EP-20', 'S-7-EP-5', 'S-7-EP-13', 'S-7-EP-21', 'S-7-EP-6', 'S-7-EP-14', 'S-7-EP-22', 'S-7-EP-7', 'S-7-EP-15', 'S-7-EP-8', 'S-7-EP-16', 'S-8-EP-1', 'S-8-EP-9', 'S-8-EP-17', 'S-8-EP-2', 'S-8-EP-10', 'S-8-EP-18', 'S-8-EP-11', 'S-8-EP-19', 'S-8-EP-4', 'S-8-EP-12', 'S-8-EP-20', 'S-8-EP-5', 'S-8-EP-13', 'S-8-EP-21', 'S-8-EP-6', 'S-8-EP-14', 'S-8-EP-22', 'S-8-EP-7', 'S-8-EP-15', 'S-8-EP-23', 'S-8-EP-8', 'S-8-EP-16', 'S-8-EP-24', 'S-5-EP-15', 'S-3-EP-24', 'S-8-EP-24']",Testing_1-2-3,Testing 1-2-3,Flight,Flight,"['3', '4', '5', '6', '7', '8']"
27,Susan Grey,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/86/3x20-9.jpg/revision/latest/scale-to-width-down/350?cb=20140215092514,family,"['septic', 'toxic megacolon', 'hiccups']","['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Susan_Grey?action=edit&amp;section=5"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>She came to the clinic complaining of long-lasting hiccups and acid reflux. She said it had been getting worse. They gave her chlorpromazine, which stopped the hiccups, and sent her home. She came back when the hiccups came back. They scheduled endoscopic gastroplication. They did the procedure and Susan hiccuped the entire time. After her procedure, she was taken home. <i>(""<a href=""/wiki/The_Other_Side_of_This_Life,_Part_1"" title=""The Other Side of This Life, Part 1"">The Other Side of This Life, Part 1</a>"")</i>\n</p><p>Susan ended up back in the hospital with a fever. They suspected she had an infection, so they ran tests and gave her IV antibiotics. They then placed a central line so she could continue her antibiotics at home. She ended up in the hospital with cramping pain. She was septic and had a toxic megacolon with a perforation and had to be rushed into surgery. Despite their best efforts, Susan died in surgery. <i>(""<a href=""/wiki/The_Other_Side_of_This_Life,_Part_2"" title=""The Other Side of This Life, Part 2"">The Other Side of This Life, Part 2</a>"")</i>\n</p>']",['Surgery'],Mare Winningham,multiple,"['S-2-EP-22', 'S-3-EP-10', 'S-3-EP-20', 'S-3-EP-22', 'S-3-EP-23', 'S-3-EP-18', 'S-3-EP-23']",The_Name_of_the_Game,The Name of the Game,"The_Other_Side_of_This_Life,_Part_2","The Other Side of This Life, Part 2","['2', '3']"
27,Nick Hanscom,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/18/4x10-7.jpg/revision/latest/scale-to-width-down/350?cb=20140501135757,patient,"['Carotid tumor', 'Blown artery', 'Carotid bleed', 'Stroke']",[],"['Tumor resection', 'Pressure dressing', 'Surgery']",Seth Green,multiple,['S-4-EP-10'],"Crash_Into_Me,_Part_1","Crash Into Me, Part 1","Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
27,Jen Harmon,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/7/71/PP2x16-3.jpg/revision/latest/scale-to-width-down/333?cb=20140904174554,patient,"['Pregnancy', 'Pregnancy-induced hypertension', 'Seizure', 'Aneurysm', 'Mirror Syndrome', 'Congestive heart failure', 'Hemolysis', 'Fetal anemia', 'Aphasia', 'Mini-strokes', 'Pre-eclampsia']","['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Jen_Harmon?action=edit&amp;section=4"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Jen was stable after her surgery, but unable to speak clearly due to blood flow issues, Derek stayed by her bedside for several hours, guilty for having nicked the aneurysm in her first surgery. Derek took her into surgery for a EC-IC Bypass to stop the mini-strokes she was having. Addison came into the surgery to monitor the baby throughout. In surgery, Jen and the baby became unstable. Addison wanted to deliver the baby, but Derek asked her to wait. He stabilized Jen just before she made the incision to deliver. After her surgery, the aphasia had cleared, but she had developed pre-eclampsia. Later, her patch blew and she had to be taken back into surgery. Derek made the radical decision to remove her temporal lobe. When the bleeding spread into her frontal lobe, he decided to remove that as well. Addison objected and eventually had to call in <a href=""/wiki/Richard_Webber"" title=""Richard Webber"">The Chief</a> to get Derek to back down and allow Addison to deliver the baby. Addison did the c-section and Jen was pronounced dead shortly after. <i>(""<a href=""/wiki/An_Honest_Mistake"" title=""An Honest Mistake"">An Honest Mistake</a>"")</i>\n</p>\n<h3><span class=""mw-headline"" id=""Lawsuit"">Lawsuit</span><span class=""editsection""><a href=""/wiki/Jen_Harmon?action=edit&amp;section=5"" title=""Edit Lawsuit section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Derek was later deposed for a lawsuit because of Jen\'s death. <i>(""<a href=""/wiki/I_Will_Follow_You_Into_the_Dark"" title=""I Will Follow You Into the Dark"">I Will Follow You Into the Dark</a>"")</i>\n</p>']","['Craniotomy', 'Bronchodilator', 'Intrauterine transfusion', 'Steroids', 'EC/IC bypass', 'Temporal lobectomy', 'C-section delivery']",Jennifer Westfeldt,multiple,"['S-5-EP-14', 'S-5-EP-15', 'S-5-EP-16', 'S-2-EP-16', 'S-5-EP-14', 'S-5-EP-16']",Beat_Your_Heart_Out,Beat Your Heart Out,An_Honest_Mistake,An Honest Mistake,"['5', '2']"
27,Randy Helsby,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/5e/6x04Randy.png/revision/latest/scale-to-width-down/350?cb=20130506160739,patient,['Abdominal sarcoma'],[],['Surgery'],Jocko Sims,single,['S-6-EP-4'],Tainted_Obligation,Tainted Obligation,Tainted_Obligation,Tainted Obligation,['6']
27,Emily Jensen,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/56/11x07EmilyJensen.png/revision/latest/scale-to-width-down/350?cb=20141116084242,patient,"['Pregnancy', 'Placenta Percreta']",[],['C-section delivery'],Luciana Faulhaber,single,['S-11-EP-7'],"Could_We_Start_Again,_Please%3F","Could We Start Again, Please?","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?",['11']
27,JJ,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/7/7b/11x22JJ.png/revision/latest/scale-to-width-down/350?cb=20150516160403,patient,['Severe burns'],[],['Debridement'],Nicole Sullivan,single,['S-11-EP-22'],She%27s_Leaving_Home,She's Leaving Home,She%27s_Leaving_Home,She's Leaving Home,['11']
27,Jordan,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/01/522Jordan.png/revision/latest/scale-to-width-down/350?cb=20130526031103,patient,['No diagnosis available'],[],['Heart attack'],Roberto Urbina,single,['S-5-EP-22'],What_a_Difference_a_Day_Makes,What a Difference a Day Makes,What_a_Difference_a_Day_Makes,What a Difference a Day Makes,['5']
27,Kathleen Kane,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/81/10x03KathleenKane.png/revision/latest/scale-to-width-down/350?cb=20131004174124,patient,"[""Colles' fracture"", 'Puncture wounds', 'Coagulation disorder', 'Stroke']","['<h3><span class=""mw-headline"" id=""Hospitalization_and_Death"">Hospitalization and Death</span><span class=""editsection""><a href=""/wiki/Kathleen_Kane?action=edit&amp;section=3"" title=""Edit Hospitalization and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Kathleen was struck by bits of a shattered baseball bat after the machine became jammed and the bat shattered. In addition to puncture wounds, she had a Colles\' fracture, which was set in the <a href=""/wiki/Emergency_Room"" title=""Emergency Room"">ER</a>. During the surgery, <a href=""/wiki/April_Kepner"" title=""April Kepner"">April Kepner</a> cut her clavicle in order to access and stop some bleeding in the area. Despite Callie\'s best efforts, Kathleen had a stroke due to a clot that formed because Kathleen had an unknown coagulation disorder and she couldn\'t save Kathleen\'s life and she died on the table.\n</p><p>Following the surgery, Leah was prepared to tell Dante about the affair. However, Callie stepped in before she could say it and told Dante that Kathleen had said that she loved him.\n</p>']","['Surgery', 'Splinting']",Molly Leland,single,['S-10-EP-3'],Everybody%27s_Crying_Mercy,Everybody's Crying Mercy,Everybody%27s_Crying_Mercy,Everybody's Crying Mercy,['10']
27,Veronica Kays,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/3d/13x21VeronicaKays.png/revision/latest/scale-to-width-down/350?cb=20170511203501,patient,"['Contact dermatitis', 'Pregnancy', 'Advanced pancreatic cancer', 'Spinal met', 'Pulmonary embolus']","['<h3><span class=""mw-headline"" id=""Baby.27s_Birth_and_Her_Death"">Baby\'s Birth and Her Death</span><span class=""editsection""><a href=""/wiki/Veronica_Kays?action=edit&amp;section=5"" title=""Edit Baby&#039;s Birth and Her Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>When she was 34 weeks and 3 days pregnant, Veronica came back to the hospital with back pain, which she\'d had for a week. An MRI showed that the cancer had spread to her spine and she needed to have a c-section that day. Before her surgery, she signed a DNR. Arizona easily delivered her baby, but she developed a clot that went to her lung and she struggled to breathe after the delivery. They said she could rescind her DNR, but she said she was tired and so they just stayed with he
